Ann Sthen,       as123@gmail.com,  23,Female,  BEGINNER,      Ice Skating,UK,5,2,1,9
George Beth Shon,gbs@gmail.com,    31,Male,    NOVICE,        Gaming,     UK,2,6,5,5,5
Kaith Andy Clos, kac123@yahoo.com, 29,Female,  ADVANCED,      Ice Skating,UK,4,7,2,2
Mark Do Leno,    mdl123@herts.com, 22,Male,    EXPERT,        Gaming,     UK,5,7,4,2,1
Harry Patrick,   hp00@example.com, 32,Male,    NOVICE,        Gaming,     UK,2,6,5,8,1
Vicy Mathew,     vm99@gmail.com,   33,Male,   INTERMEDIATE,   Ice Skating,UK,6,2,9,5
Monica Loy,      mdl12@herts.com, 29,Female,     EXPERT,      Gaming,     US,4,4,8,2,3
Susan Mathew,    sm66@example.com, 28,Female,  NOVICE,        Gaming,     US,5,6,5,3,4
Andy Stov,       as88@gmail.com,   22,Female,  EXPERT,        Gaming,     US,6,2,9,6,4
Mary Francis,    mf55@gmail.com,   27,Male,     BEGINNER,     Ice Skating,UK,7,9,6,6
Jomon Vicy,      jv123@yahoo.com,  22,Male,    ADVANCED,      Ice Skating,UK,6,9,10,9
Catherin George, cg00@yahoo.com,   20,Male,    EXPERT,        Gaming,     UAE,1,4,4,2,5
Aby Mathew,      am333@example.com,34,Male,     NOVICE,       Gaming,     UK,2,3,6,5,2
Jojo Mony,       jm555@gmail.com,  31,Male,   INTERMEDIATE,   Ice Skating,UK,2,3,6,7
Methen George,   mg999@herts.com,  30,Male,   BEGINNER,       Ice Skating,UK,4,7,7,8
Scarlett John,   sj1111@gmail.com, 25,Female, INTERMEDIATE,   Ice Skating,UK,3,4,6,5
Patrick Shanon,  ps767@gmail.com,  22,Male,     ADVANCED,     Ice Skating,US,4,9,9,10
Rod Stod,        rs777@herts.acom, 26,Male,   ADVANCED,       Ice Skating,UK,5,9,2,4
Lijo Willams,   lijo32@example.com,28,Male,     NOVICE,       Gaming,     UK,6,2,5,8,4
